CommandType     Name                                               Version    Source     
Function        Get-DtcNetworkSetting                              1.0.0.0    MsDtc      
Function        Get-DtcTransaction                                 1.0.0.0    MsDtc      
Function        Get-DtcTransactionsStatistics                      1.0.0.0    MsDtc      
Function        Get-DtcTransactionsTraceSession                    1.0.0.0    MsDtc      
Function        Get-DtcTransactionsTraceSetting                    1.0.0.0    MsDtc      
Function        Get-EtwTraceProvider                               1.0.0.0    EventTra...
Function        Get-EtwTraceSession                                1.0.0.0    EventTra...
Function        Get-FileHash                                       3.1.0.0    Microsof...
Function        Get-FileIntegrity                                  2.0.0.0    Storage    
Function        Get-FileShare                                      2.0.0.0    Storage    
Function        Get-FileShareAccessControlEntry                    2.0.0.0    Storage    
Function        Get-FileStorageTier                                2.0.0.0    Storage    
Function        Get-InitiatorId                                    2.0.0.0    Storage    
Function        Get-InitiatorPort                                  2.0.0.0    Storage    
Function        Get-InstalledModule                                1.0.0.1    PowerShe...
Function        Get-InstalledScript                                1.0.0.1    PowerShe...
Function        Get-IscsiConnection                                1.0.0.0    iSCSI      
Function        Get-IscsiSession                                   1.0.0.0    iSCSI      
Function        Get-IscsiTarget                                    1.0.0.0    iSCSI      
Function        Get-IscsiTargetPortal                              1.0.0.0    iSCSI      
Function        Get-IseSnippet                                     1.0.0.0    ISE        
Function        Get-LogProperties                                  1.0.0.0    PSDiagno...
Function        Get-MaskingSet                                     2.0.0.0    Storage    
Function        Get-MMAgent                                        1.0        MMAgent    
Function        Get-MockDynamicParameters                          3.4.0      Pester     
Function        Get-MpComputerStatus                               1.0        Defender   
Function        Get-MpPreference                                   1.0        Defender   
Function        Get-MpThreat                                       1.0        Defender   
Function        Get-MpThreatCatalog                                1.0        Defender   
Function        Get-MpThreatDetection                              1.0        Defender   
Function        Get-NCSIPolicyConfiguration                        1.0.0.0    NetworkC...
Function        Get-Net6to4Configuration                           1.0.0.0    NetworkT...
Function        Get-NetAdapter                                     2.0.0.0    NetAdapter 
Function        Get-NetAdapterAdvancedProperty                     2.0.0.0    NetAdapter 
Function        Get-NetAdapterBinding                              2.0.0.0    NetAdapter 
Function        Get-NetAdapterChecksumOffload                      2.0.0.0    NetAdapter 
Function        Get-NetAdapterEncapsulatedPacketTaskOffload        2.0.0.0    NetAdapter 
Function        Get-NetAdapterHardwareInfo                         2.0.0.0    NetAdapter 
Function        Get-NetAdapterIPsecOffload                         2.0.0.0    NetAdapter 
Function        Get-NetAdapterLso                                  2.0.0.0    NetAdapter 
Function        Get-NetAdapterPacketDirect                         2.0.0.0    NetAdapter 
Function        Get-NetAdapterPowerManagement                      2.0.0.0    NetAdapter 
Function        Get-NetAdapterQos                                  2.0.0.0    NetAdapter 
Function        Get-NetAdapterRdma                                 2.0.0.0    NetAdapter 
Function        Get-NetAdapterRsc                                  2.0.0.0    NetAdapter 
Function        Get-NetAdapterRss                                  2.0.0.0    NetAdapter 
Function        Get-NetAdapterSriov                                2.0.0.0    NetAdapter 
Function        Get-NetAdapterSriovVf                              2.0.0.0    NetAdapter 
Function        Get-NetAdapterStatistics                           2.0.0.0    NetAdapter 
Function        Get-NetAdapterVmq                                  2.0.0.0    NetAdapter 
Function        Get-NetAdapterVMQQueue                             2.0.0.0    NetAdapter 
Function        Get-NetAdapterVPort                                2.0.0.0    NetAdapter 
Function        Get-NetCompartment                                 1.0.0.0    NetTCPIP   
Function        Get-NetConnectionProfile                           1.0.0.0    NetConne...
Function        Get-NetDnsTransitionConfiguration                  1.0.0.0    NetworkT...
Function        Get-NetDnsTransitionMonitoring                     1.0.0.0    NetworkT...
Function        Get-NetEventNetworkAdapter                         1.0.0.0    NetEvent...
Function        Get-NetEventPacketCaptureProvider                  1.0.0.0    NetEvent...
Function        Get-NetEventProvider                               1.0.0.0    NetEvent...
Function        Get-NetEventSession                                1.0.0.0    NetEvent...
Function        Get-NetEventVFPProvider                            1.0.0.0    NetEvent...
Function        Get-NetEventVmNetworkAdapter                       1.0.0.0    NetEvent...
Function        Get-NetEventVmSwitch                               1.0.0.0    NetEvent...
Function        Get-NetEventVmSwitchProvider                       1.0.0.0    NetEvent...
Function        Get-NetEventWFPCaptureProvider                     1.0.0.0    NetEvent...
Function        Get-NetFirewallAddressFilter                       2.0.0.0    NetSecurity
Function        Get-NetFirewallApplicationFilter                   2.0.0.0    NetSecurity
Function        Get-NetFirewallInterfaceFilter                     2.0.0.0    NetSecurity
Function        Get-NetFirewallInterfaceTypeFilter                 2.0.0.0    NetSecurity
Function        Get-NetFirewallPortFilter                          2.0.0.0    NetSecurity
Function        Get-NetFirewallProfile                             2.0.0.0    NetSecurity
Function        Get-NetFirewallRule                                2.0.0.0    NetSecurity
Function        Get-NetFirewallSecurityFilter                      2.0.0.0    NetSecurity
Function        Get-NetFirewallServiceFilter                       2.0.0.0    NetSecurity
Function        Get-NetFirewallSetting                             2.0.0.0    NetSecurity
Function        Get-NetIPAddress                                   1.0.0.0    NetTCPIP   
Function        Get-NetIPConfiguration                             1.0.0.0    NetTCPIP   
Function        Get-NetIPHttpsConfiguration                        1.0.0.0    NetworkT...
Function        Get-NetIPHttpsState                                1.0.0.0    NetworkT...
Function        Get-NetIPInterface                                 1.0.0.0    NetTCPIP   
Function        Get-NetIPsecDospSetting                            2.0.0.0    NetSecurity
Function        Get-NetIPsecMainModeCryptoSet                      2.0.0.0    NetSecurity
Function        Get-NetIPsecMainModeRule                           2.0.0.0    NetSecurity
Function        Get-NetIPsecMainModeSA                             2.0.0.0    NetSecurity
Function        Get-NetIPsecPhase1AuthSet                          2.0.0.0    NetSecurity
Function        Get-NetIPsecPhase2AuthSet                          2.0.0.0    NetSecurity
Function        Get-NetIPsecQuickModeCryptoSet                     2.0.0.0    NetSecurity
Function        Get-NetIPsecQuickModeSA                            2.0.0.0    NetSecurity
Function        Get-NetIPsecRule                                   2.0.0.0    NetSecurity
Function        Get-NetIPv4Protocol                                1.0.0.0    NetTCPIP   
Function        Get-NetIPv6Protocol                                1.0.0.0    NetTCPIP   
Function        Get-NetIsatapConfiguration                         1.0.0.0    NetworkT...
Function        Get-NetLbfoTeam                                    2.0.0.0    NetLbfo    
Function        Get-NetLbfoTeamMember                              2.0.0.0    NetLbfo    
Function        Get-NetLbfoTeamNic                                 2.0.0.0    NetLbfo    
Function        Get-NetNat                                         1.0.0.0    NetNat     
Function        Get-NetNatExternalAddress                          1.0.0.0    NetNat     
Function        Get-NetNatGlobal                                   1.0.0.0    NetNat     
Function        Get-NetNatSession                                  1.0.0.0    NetNat     
Function        Get-NetNatStaticMapping                            1.0.0.0    NetNat     
Function        Get-NetNatTransitionConfiguration                  1.0.0.0    NetworkT...
Function        Get-NetNatTransitionMonitoring                     1.0.0.0    NetworkT...
Function        Get-NetNeighbor                                    1.0.0.0    NetTCPIP   
Function        Get-NetOffloadGlobalSetting                        1.0.0.0    NetTCPIP   
Function        Get-NetPrefixPolicy                                1.0.0.0    NetTCPIP   
Function        Get-NetQosPolicy                                   2.0.0.0    NetQos     
Function        Get-NetRoute                                       1.0.0.0    NetTCPIP   
Function        Get-NetSwitchTeam                                  1.0.0.0    NetSwitc...
Function        Get-NetSwitchTeamMember                            1.0.0.0    NetSwitc...
Function        Get-NetTCPConnection                               1.0.0.0    NetTCPIP   
Function        Get-NetTCPSetting                                  1.0.0.0    NetTCPIP   
Function        Get-NetTeredoConfiguration                         1.0.0.0    NetworkT...
Function        Get-NetTeredoState                                 1.0.0.0    NetworkT...
Function        Get-NetTransportFilter                             1.0.0.0    NetTCPIP   
Function        Get-NetUDPEndpoint                                 1.0.0.0    NetTCPIP   
Function        Get-NetUDPSetting                                  1.0.0.0    NetTCPIP   
Function        Get-NetView                                        1.0.0.0    NetDiagn...
Function        Get-NetworkSwitchEthernetPort                      1.0.0.0    NetworkS...
Function        Get-NetworkSwitchFeature                           1.0.0.0    NetworkS...
Function        Get-NetworkSwitchGlobalData                        1.0.0.0    NetworkS...
Function        Get-NetworkSwitchVlan                              1.0.0.0    NetworkS...
Function        Get-OdbcDriver                                     1.0.0.0    Wdac       
Function        Get-OdbcDsn                                        1.0.0.0    Wdac       
Function        Get-OdbcPerfCounter                                1.0.0.0    Wdac       
Function        Get-OffloadDataTransferSetting                     2.0.0.0    Storage    
Function        Get-OperationValidation                            1.0.1      Microsof...
Function        Get-Partition                                      2.0.0.0    Storage    
Function        Get-PartitionSupportedSize                         2.0.0.0    Storage    
Function        Get-PcsvDevice                                     1.0.0.0    PcsvDevice 
Function        Get-PcsvDeviceLog                                  1.0.0.0    PcsvDevice 
Function        Get-PhysicalDisk                                   2.0.0.0    Storage    
Function        Get-PhysicalDiskStorageNodeView                    2.0.0.0    Storage    
Function        Get-PhysicalExtent                                 2.0.0.0    Storage    
Function        Get-PhysicalExtentAssociation                      2.0.0.0    Storage    
Function        Get-PnpDevice                                      1.0.0.0    PnpDevice  
Function        Get-PnpDeviceProperty                              1.0.0.0    PnpDevice  
Function        Get-PrintConfiguration                             1.1        PrintMan...
Function        Get-Printer                                        1.1        PrintMan...
Function        Get-PrinterDriver                                  1.1        PrintMan...
Function        Get-PrinterPort                                    1.1        PrintMan...
Function        Get-PrinterProperty                                1.1        PrintMan...
Function        Get-PrintJob                                       1.1        PrintMan...
Function        Get-PSRepository                                   1.0.0.1    PowerShe...
Function        Get-ResiliencySetting                              2.0.0.0    Storage    
Function        Get-ScheduledTask                                  1.0.0.0    Schedule...
Function        Get-ScheduledTaskInfo                              1.0.0.0    Schedule...
Function        Get-SmbBandWidthLimit                              2.0.0.0    SmbShare   
Function        Get-SmbClientConfiguration                         2.0.0.0    SmbShare   
Function        Get-SmbClientNetworkInterface                      2.0.0.0    SmbShare   
Function        Get-SmbConnection                                  2.0.0.0    SmbShare   
Function        Get-SmbDelegation                                  2.0.0.0    SmbShare   
Function        Get-SmbGlobalMapping                               2.0.0.0    SmbShare   
Function        Get-SmbMapping                                     2.0.0.0    SmbShare   
Function        Get-SmbMultichannelConnection                      2.0.0.0    SmbShare   
Function        Get-SmbMultichannelConstraint                      2.0.0.0    SmbShare   
Function        Get-SmbOpenFile                                    2.0.0.0    SmbShare   
Function        Get-SmbServerConfiguration                         2.0.0.0    SmbShare   
Function        Get-SmbServerNetworkInterface                      2.0.0.0    SmbShare   
Function        Get-SmbSession                                     2.0.0.0    SmbShare   
Function        Get-SmbShare                                       2.0.0.0    SmbShare   
Function        Get-SmbShareAccess                                 2.0.0.0    SmbShare   
Function        Get-SmbWitnessClient                               2.0.0.0    SmbWitness 
Function        Get-StartApps                                      1.0.0.0    StartLayout
Function        Get-StorageAdvancedProperty                        2.0.0.0    Storage    
Function        Get-StorageBusBinding                              1.0.0.0    StorageB...
Function        Get-StorageBusDisk                                 1.0.0.0    StorageB...
Function        Get-StorageChassis                                 2.0.0.0    Storage    
Function        Get-StorageDiagnosticInfo                          2.0.0.0    Storage    
Function        Get-StorageEnclosure                               2.0.0.0    Storage    
Function        Get-StorageEnclosureStorageNodeView                2.0.0.0    Storage    
Function        Get-StorageEnclosureVendorData                     2.0.0.0    Storage    
Function        Get-StorageExtendedStatus                          2.0.0.0    Storage    
Function        Get-StorageFaultDomain                             2.0.0.0    Storage    
Function        Get-StorageFileServer                              2.0.0.0    Storage    
Function        Get-StorageFirmwareInformation                     2.0.0.0    Storage    
Function        Get-StorageHealthAction                            2.0.0.0    Storage    
Function        Get-StorageHealthReport                            2.0.0.0    Storage    
Function        Get-StorageHealthSetting                           2.0.0.0    Storage    
Function        Get-StorageHistory                                 2.0.0.0    Storage    
Function        Get-StorageJob                                     2.0.0.0    Storage    
